sort,tipo,tamanho,puro_ns,com_pre_ns,pre_ns
merge,random,10000,451386,458471,27686
merge,turtles,10000,139329,141714,4571
merge,zigzag,10000,137971,119186,7729
merge,almostsorted,10000,149757,152043,6771
merge,duplicates,10000,216743,212000,24971
merge,inverted,10000,128743,114071,4629
quick,random,10000,381286,395814,27743
quick,turtles,10000,150100,157000,4557
quick,zigzag,10000,422157,422900,4871
quick,almostsorted,10000,257557,245200,7014
quick,duplicates,10000,39843,52371,24686
quick,inverted,10000,353029,474471,4586
insertion,random,10000,10096329,6033500,27429
insertion,turtles,10000,12748443,7529029,5043
insertion,zigzag,10000,10148771,10129,5043
insertion,almostsorted,10000,272314,172843,6729
insertion,duplicates,10000,7064500,2726829,25171
insertion,inverted,10000,20329500,10600,5671
bubble,random,10000,22422071,19120914,27329
bubble,turtles,10000,18627971,13691843,6500
bubble,zigzag,10000,18533100,18857,8314
bubble,almostsorted,10000,19654700,17398600,7629
bubble,duplicates,10000,19655171,16128857,24771
bubble,inverted,10000,20298829,10471,6586
selection,random,10000,20640986,20447357,27229
selection,turtles,10000,20558000,19923643,5329
selection,zigzag,10000,20435971,20283871,5229
selection,almostsorted,10000,20497357,20321843,7271
selection,duplicates,10000,20142957,20158771,24700
selection,inverted,10000,17799614,20329871,5114
