sort,tipo,tamanho,ganho_pct
merge,random,1000,-3.97
merge,random,5000,-4.85
merge,random,10000,-3.52
merge,random,100000,-3.40
merge,random,1000000,-1.48
merge,turtles,1000,-9.31
merge,turtles,5000,-14.83
merge,turtles,10000,-17.84
merge,turtles,100000,-11.23
merge,turtles,1000000,-11.77
merge,zigzag,1000,7.46
merge,zigzag,5000,14.18
merge,zigzag,10000,14.76
merge,zigzag,100000,16.02
merge,zigzag,1000000,18.50
merge,almostsorted,1000,-3.52
merge,almostsorted,5000,-5.65
merge,almostsorted,10000,-5.98
merge,almostsorted,100000,-4.38
merge,almostsorted,1000000,-4.66
merge,duplicates,1000,-0.28
merge,duplicates,5000,-2.24
merge,duplicates,10000,-1.07
merge,duplicates,100000,-1.27
merge,duplicates,1000000,2.93
merge,inverted,1000,3.98
merge,inverted,5000,11.46
merge,inverted,10000,13.11
merge,inverted,100000,11.24
merge,inverted,1000000,16.22
quick,random,1000,-6.57
quick,random,5000,-6.12
quick,random,10000,-4.15
quick,random,100000,-4.25
quick,random,1000000,-3.57
quick,turtles,1000,-7.73
quick,turtles,5000,-3.22
quick,turtles,10000,-4.78
quick,turtles,100000,-3.35
quick,turtles,1000000,-3.78
quick,zigzag,1000,3.60
quick,zigzag,5000,-3.10
quick,zigzag,10000,-4.04
quick,zigzag,100000,-7.58
quick,zigzag,1000000,-10.40
quick,almostsorted,1000,-7.56
quick,almostsorted,5000,-8.36
quick,almostsorted,10000,-3.02
quick,almostsorted,100000,-9.31
quick,almostsorted,1000000,11.10
quick,duplicates,1000,-59.35
quick,duplicates,5000,-31.95
quick,duplicates,10000,-31.33
quick,duplicates,100000,-34.41
quick,duplicates,1000000,-29.93
quick,inverted,1000,-31.40
quick,inverted,5000,-32.60
quick,inverted,10000,-36.80
quick,inverted,100000,-36.88
quick,inverted,1000000,-42.06
insertion,random,1000,34.54
insertion,random,5000,41.76
insertion,random,10000,42.22
insertion,random,100000,44.21
insertion,turtles,1000,34.11
insertion,turtles,5000,39.18
insertion,turtles,10000,39.00
insertion,turtles,100000,41.03
insertion,zigzag,1000,97.24
insertion,zigzag,5000,99.48
insertion,zigzag,10000,99.70
insertion,zigzag,100000,99.98
insertion,almostsorted,1000,6.93
insertion,almostsorted,5000,26.86
insertion,almostsorted,10000,28.58
insertion,almostsorted,100000,39.28
insertion,duplicates,1000,43.84
insertion,duplicates,5000,58.23
insertion,duplicates,10000,59.35
insertion,duplicates,100000,61.76
insertion,inverted,1000,98.57
insertion,inverted,5000,99.74
insertion,inverted,10000,99.88
insertion,inverted,100000,99.99
bubble,random,1000,13.03
bubble,random,5000,14.88
bubble,random,10000,13.29
bubble,random,100000,25.63
bubble,turtles,1000,25.47
bubble,turtles,5000,26.60
bubble,turtles,10000,27.45
bubble,turtles,100000,28.21
bubble,zigzag,1000,98.87
bubble,zigzag,5000,99.81
bubble,zigzag,10000,99.91
bubble,zigzag,100000,99.99
bubble,almostsorted,1000,41.39
bubble,almostsorted,5000,17.89
bubble,almostsorted,10000,15.32
bubble,almostsorted,100000,6.59
bubble,duplicates,1000,17.03
bubble,duplicates,5000,18.11
bubble,duplicates,10000,16.30
bubble,duplicates,100000,36.84
bubble,inverted,1000,99.48
bubble,inverted,5000,99.90
bubble,inverted,10000,99.95
bubble,inverted,100000,100.00
selection,random,1000,-1.57
selection,random,5000,1.22
selection,random,10000,0.45
selection,random,100000,0.97
selection,turtles,1000,1.39
selection,turtles,5000,3.84
selection,turtles,10000,3.32
selection,turtles,100000,3.51
selection,zigzag,1000,-0.51
selection,zigzag,5000,0.97
selection,zigzag,10000,1.90
selection,zigzag,100000,2.31
selection,almostsorted,1000,-0.57
selection,almostsorted,5000,1.17
selection,almostsorted,10000,-1.09
selection,almostsorted,100000,-0.79
selection,duplicates,1000,-1.45
selection,duplicates,5000,0.64
selection,duplicates,10000,-0.79
selection,duplicates,100000,0.68
selection,inverted,1000,-9.93
selection,inverted,5000,-10.81
selection,inverted,10000,-12.34
selection,inverted,100000,-12.78
