tipo,tamanho,inversoes_iniciais,inversoes_pos_pre,reducao_pct
random,1000,250281,136092,45.62
random,5000,6223321,3415941,45.11
random,10000,24960120,13681366,45.19
random,100000,2500465765,1369760452,45.22
random,1000000,250012105511,136996196997,45.20
turtles,1000,305125,182125,40.31
turtles,5000,7650625,4535625,40.72
turtles,10000,30613750,18133750,40.77
turtles,100000,3062387500,1812587500,40.81
turtles,1000000,306248875000,181250875000,40.82
zigzag,1000,249750,251,99.90
zigzag,5000,6248750,1251,99.98
zigzag,10000,24997500,2501,99.99
zigzag,100000,2499975000,25001,100.00
zigzag,1000000,249999750000,250001,100.00
almostsorted,1000,6661,3246,51.27
almostsorted,5000,163628,91600,44.02
almostsorted,10000,654922,377149,42.41
almostsorted,100000,65815249,39094565,40.60
almostsorted,1000000,6568228210,3923702806,40.26
duplicates,1000,166029,63478,61.77
duplicates,5000,4152072,1574658,62.08
duplicates,10000,16633993,6300346,62.12
duplicates,100000,1666815211,629947286,62.21
duplicates,1000000,166659083576,62960742879,62.22
inverted,1000,499500,0,100.00
inverted,5000,12497500,0,100.00
inverted,10000,49995000,0,100.00
inverted,100000,4999950000,0,100.00
inverted,1000000,499999500000,0,100.00
